repo, precision
sfchat.git, 0.877
react-presentation-components-lab-seattle-web-082619.git, 1.000
lipp_original.git, 0.997
odooapps.git, 0.872
certificates-for-everyone-netlify.git, 0.931
trolifystorefrontdemo.git, 0.929
recurse-graph-wiki.git, 0.929
nativosdk-reactnative-sampleapp.git, 0.972
bookable.git, 0.918
birthregistration.git, 0.864
full-stack-web-development.git, 0.945
fabric-samples.git, 0.931
map-dispatch-to-props-lab-onl01-seng-pt-100619.git, 1.000
react-component-mounting-and-unmounting-lab-austin-web-012720.git, 1.000
code-fellows-coursework.git, 0.964
protractor-cucumber-slices.git, 0.890
radiopadre.git, 0.962
dylans-cms.git, 0.931
trust.git, 0.952
microsoft-devops-projects.git, 0.898
zmartr.git, 0.920
jsonservercgivisitkort.git, 0.939
practice.git, 0.864
friendslauncher.git, 0.958
mailor.git, 0.949
